<h>
Chicago	NP	Chicago
discussion	NN	discussion
in	IN	in
Lake	NP	Lake
View	NP	View
on	IN	on
Tuesday	NP	Tuesday
.	SENT	.
The	DT	the
influencers	NNS	influencer
and	CC	and
businesses	NNS	business
touted	VBD	tout
why	WRB	why
the	DT	the
short-form	NN	short-form
video-sharing	NN	video-sharing
app	NP	App
is	VBZ	be
important	JJ	important
to	TO	to
them	PP	them
.	SENT	.
<p>
Calls	NNS	call
from	IN	from
Sun-Times	NP	Sun-Times
reporters	NNS	reporter
Tim	NP	Tim
Novak	NP	Novak
and	CC	and
Mitchell	NP	Mitchell
Armentrout	NP	Armentrout
led	VBD	lead
to	TO	to
businesses	NNS	business
paying	VBG	pay
$1	JJ	<unknown>
million	CD	million
they	PP	they
owed	VBD	owe
for	IN	for
traffic	NN	traffic
control	NN	control
services	NNS	service
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
proof	NN	proof
that	IN	that
the	DT	the
city	NN	city
could	MD	could
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
willing	JJ	willing
,	,	,
quickly	RB	quickly
coordinate	VB	coordinate
a	DT	a
plan	NN	plan
to	TO	to
ensure	VB	ensure
that	IN	that
unpaid	JJ	unpaid
bills	NNS	bill
are	VBP	be
taken	VBN	take
care	NN	care
of	IN	of
quickly	RB	quickly
.	SENT	.
