_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000110,0.0544913516,-0.020333648,0.0038672726,0.2344327137,-0.114939443,0.1709173443,-0.190673944,0.2525169227,-0.141486448,0,,
v000111,0.2621062862,0.13574091,-0.204253637,0.0378072646,0.0307040878,0.2419442654,-0.058999475,0.083412632,0.0400418191,0,,
v000112,0.3224566104,0.1457837361,-0.151551844,0.4605572667,-0.033330548,-0.225466583,-0.01622002,-0.144937069,-0.217230135,1,fac4,1
v000113,0.5803478716,0.0510091343,-0.219065972,0.0039914916,-0.095585034,-0.162524023,0.0227760003,-0.121614045,0.2137219193,1,fac1,1
v000114,0.2835878955,0.1981168564,-0.019803872,0.0487234481,0.108444779,0.0475299448,0.1298194119,0.0025819326,0.0110365923,0,,
v000115,0.2984563288,0.0431129038,-0.113586538,0.0004349705,0.0091295655,-0.079668483,-0.260397186,-0.08191465,-0.003278788,0,,
v000116,-0.297799237,0.0830935019,-0.00124657,-0.143974854,-0.098022128,0.2116694908,-0.413633333,0.136288724,-0.193483816,1,fac7,-1
v000117,0.3753725164,0.0565523857,0.0325571616,0.0041907528,-0.031101295,-0.0603438,-0.073373575,-0.131332475,-0.027156786,1,fac1,1
v000118,-0.2209603,-0.137435694,0.8189463068,-0.05162201,0.0037979999,-0.095868036,-0.14273423,0.1675599606,0.0212684062,1,fac3,1
v000119,0.345666379,-0.171710388,0.0761954495,0.1436698737,0.0511315219,-0.06340985,-0.245499172,-0.085483594,0.1030724221,1,fac1,1
v000120,-0.20710109,0.0388815884,0.0386303775,-0.062292644,0.0919804801,-0.091982406,-0.143834286,0.4911856029,-0.012654454,1,fac8,1
v000121,0.0535808993,0.3987678821,-0.122667902,0.1673673382,-0.006847112,0.1146809609,-0.028018581,0.0638024133,-0.032869261,1,fac2,1
v000122,-0.064097745,0.3951294202,-0.023215921,0.0670924756,0.0513334721,0.0165420921,0.0942868246,0.0833814384,-0.026324272,1,fac2,1
v000123,0.1222762353,-0.021170637,-0.051615724,0.4418433929,-0.216141648,-0.07060224,-0.198173328,-0.05885188,0.0909436683,1,fac4,1
v000124,0.0011663705,-0.034310858,-0.058526277,0.3895240344,-0.27743643,-0.121745758,-0.397097726,-0.08825694,0.1447479211,1,fac7,-1
v000125,-0.024262422,-0.015363496,0.6852375757,0.1564720198,0.0721737952,0.0205291284,0.0214259666,-0.124951823,-0.15193669,1,fac3,1
v000126,0.3813395312,-0.140479462,0.0468953642,-0.105961938,0.0025292086,-0.376805266,-0.074539714,-0.34104486,0.5488888072,1,fac9,1
v000127,0.1033290655,0.3234199763,-0.050888366,-0.082064225,0.0427659712,-0.32779815,0.3179646009,-0.035927478,0.1122142818,1,fac6,-1
v000128,0.2271116697,0.2416306648,-0.017296903,-0.047099942,-0.179511511,0.8087009319,0.1079039526,0.0509684432,0.1381151233,1,fac6,1
v000129,0.0177971298,0.605405514,-0.070249446,-0.094191051,-0.102210875,0.1747160043,0.0040510741,0.1065753486,0.0341662148,1,fac2,1
v000130,0.1010655499,0.0005433905,0.3061741332,-0.11610958,0.3138788597,-0.043628863,0.0886353144,-0.068826239,0.0669605266,1,fac5,1
v000131,0.0898431837,0.0873245794,-0.061672582,0.1644642074,-0.146874053,-0.109951456,-0.153256804,0.4334414795,0.1218599473,1,fac8,1
v000132,0.1091148499,-0.05574987,-0.204454453,0.4971384678,0.0391306237,-0.103197631,0.0957649139,0.0680150712,0.0379543561,1,fac4,1
v000133,-0.078548847,-0.215447624,-0.06078329,-0.36661072,0.0118165122,0.507736045,-0.341242069,0.1653142387,-0.040549563,1,fac6,1
v000134,-0.186199091,-0.155083925,0.1337534879,-0.26099159,0.3038778403,-0.281485558,-0.111210168,0.3589328793,-0.045021306,1,fac8,1
